[00:00] 首先 这个案例是关于小划块的检测的案例。
[00:07] 大家再把素材倒入进去之后,可以看到这里面是不是有各种小物块。
[39:33] 回到脚本,
[39:37] 还是刚刚的逻辑啊,
[39:39] 为什么会出现这种现状?
[39:41] 原因在于第一出代码,
[39:43] 咱们在第一出代码这里是不是创建了一个集合呀?
[39:47] 那么在第一出这里创建了一个集合,
[39:50] 那么这个集合的话,
[39:52] 是不是会保存一些东西?
[39:54] 那咱们第一次运行,
[39:56] 是不是把第一次的这15个结果,
[39:58] 全部都放到这个book上了?
[40:00] 那么我重新切换第二张图再次运行的话,
[40:05] 那我问这个Books里边的东西,第一次所保存的东西还在吗?
[40:10] 还在啊!
[40:11] 还在啊!
[40:13] 所以说就会造成刚刚的现象。
[40:15] 你切换到第二张图的时候发现,
[40:18] 第一张图的文字是不是还在?
[40:20] 说明你的这个Books,它没有做清空,是不是?
[40:24] 你在切换图片的时候,它是不是没有做清空呀?
[40:28] 所以说就会导致它第一张图、第二张图、第三张图的这么多的 label,
[40:35] 是不是就越积越多呀,在这个Books里边?
[40:38] 那怎么解决?很简单。
[40:41] 你就让这个Books清空一下是不是就可以了?
[40:44] 在哪里清空?
[40:46] 在每次咱们运行第二出代码之前,
[40:50] 把Books清空一下,是不是就可以了?
[40:54] 那怎么清空?
[40:56] 第一次点,有没有清空的单词?
[40:58] Clear,是不是就清空?
[41:00] 把这个盒子清空一下就可以了。
[41:04] 这个能力结果?
[41:06] 每一次切换新的图片,
[41:08] 那它的第二出代码是不是就会重新运行一下?
[41:12] 是不是?
[41:13] 那么就让它把盒子清空一下,
[41:16] 把上一次所保留的东西都去掉就可以了。
[41:21] 那么加个清空的代码再一次运行,
[41:24] 效果出来没有?
[41:28] 这是不是就是咱们最重要的这个效果?
[41:32] 你的每一个胶脑上边,
[41:34] 你究竟是合格还是不合格?
[41:36] 是不是都标记上了?
[41:38] 是不是要比原来的光统计要好得多?
[41:41] 这就是咱们今天下午讲的新内容了。
[41:45] 大家把代码完善完善,
[41:47] 现在,
[41:50] 咱们讲一讲关于斗类识别的案例是怎么做的。
[41:55] 那么,大家可以打开自己的项目,
[41:59] 跟老师对比对照一下。
[42:02] 那么我把斗类识别的案例倒入进来。
[42:06] 那么关于这个案例,
[42:08] 我们是怎么去做的呢?
[42:12] 在这里,
[42:13] 我们还是利用图布拉克工具。
[42:18] 在图布拉克工具里面写这个代码,
[42:22] 那么写之前,
[42:24] 我们要用布拉克工具把这个斗子的轮廓,
[42:28] 拌点给获取一下。
[42:32] 那么对于这个案例,
[42:33] 这个布拉克工具的极性该怎么设置啊?
[42:39] 是不是白底黑点?
[42:41] 白色背景吗?白色底?
[42:43] 黑色为拌点,黑点吗?
[42:45] 点击运行查看结果,
[42:47] 效果是不是就像这个样子?
[42:50] 点击切换图片,
[42:51] 我们来看看其他图片的样子。
[42:54] 是不是也差不多啊?
[42:56] 但是有些图片,
[42:58] 你会看到左上角的干扰,
[43:02] 是不是比较严重呀?
[43:04] 所以说,
[43:05] 我们得想办法把左上角的这个给排掉。
[43:09] 那怎么排呢?
[43:10] 不了吧,
[43:11] 这里面会有一个内容,
[43:13] 叫做它的区域,看到没有?
[43:15] 默认情况下,
[43:17] 它的区域是不是我,
[43:19] 表示使用整个图像,
[43:21] 是不是?
[43:22] 那么如果你想把一部分内容,
[43:25] 做布拉克检测的话,
[43:27] 那么你就可以使用区域形状来进行该货。
[43:31] 那这个区域形状里面有原有妥原有这个,
[43:34] 各种各样的内容,
[43:36] 那么在这里我们可以用哪个?
[43:38] 在这里大家可以用常,
[43:40] 可以用这里的举行,可以,
[43:42] 也可以用这里的多边形也可以。
[43:44] 那么在这里老师推荐大家用多边形,
[43:47] 叫做ploying,
[43:49] 第三个,
[43:50] 选择第三个内容,
[43:52] 那么我们会看到,
[43:53] 图中是不是给了我们一个举行样质的内容?
[43:56] 默认给了我们一个举行,
[43:58] 那么说明它是不是有四个点,
[44:00] 那么你看这里是不是就有四个点,
[44:02] 那么我们可以在这里新增点,
[44:04] 插入几个点,
[44:05] 那么这样子的话,
[44:06] 它是不是就变成多边形了?
[44:08] 那么我们可以利用多边形,
[44:10] 来锁定咱们的检测范围,
[44:14] 那么既然左上角有这个误差,
[44:16] 那么我们就可以故意的避开左上角,
[44:19] 这个大家能看懂不?
[44:22] 故意避开左上角,
[44:24] 那么是不是就把剩下的做一个检测就可以了?
[44:27] 那么这样子设置完,
[44:29] 点击运行,查看结果,
[44:31] 效果是不是就好很多了?
[44:34] 那么效果有了之后,
[44:36] 那么其中还有一部分小半点,
[44:38] 那么你看这里有个44面积的小半点,
[44:41] 我们利用这里的最小面积,
[44:43] 是不是就可以直接排除掉,
[44:45] 对于1000,差不多够了,
[44:47] 运行,
[44:49] 那么剩下的是不是就是我们要用的豆子了?
[44:52] 那么这些豆子该怎么做区分呀?
[44:55] 我们在这里看一看他们的面积,
[44:58] 如果是小豆子的话,
[45:00] 这些面积大概是多少?
[45:02] 有8000,有1万,有1万1,是不是?
[45:08] 2万3的话是不是变成中豆子了?
[45:11] 那么我们这里最大就是1万1,
[45:13] 我们再看看有没有其他的。
[45:15] 这也是1万1,也是1万1。
[45:19] 那么在这里我们是不是可以画定
[45:21] 第一个区间,画定一个1万5,
[45:24] 规定小于1万5的,是不是就算小豆?
[45:28] 这个能理解吧?
[45:30] 我们在这里写一下,标记一下。
[45:37] 小于1万5的为小豆。
[45:42] 那么大于1万5的,是不是就是中豆和大豆了?
[45:48] 那么中豆又是哪个区间?
[45:52] 我们看看中豆,是不是就是个3万2万左右?
[45:56] 再看看,3万6,是不是?
[45:59] 这个7万就变成大豆了,再看看,
[46:02] 是不是基本就是3万2万左右?
[46:05] 那么大豆的话是不是就是7万,
[46:07] 对吧?6、8万这种效果,是不是?
[46:11] 那么我们取个中间纸,5万行不行?
[46:14] 大于1万5,小于5万的为中豆。
[46:23] 那么剩下的大于5万的,是不是就是大豆了?
[46:27] 是不是?
[46:29] 为大豆。
[46:31] OK,豆子的区分,咱们已经区分完毕了。
[46:34] 那么接下来剩下的,交给代码。
[46:37] 那么回到Toolblock创建高级脚本。
[46:41] 在这个脚本当中,咱们还是先把3处位置标记一下。
[46:47] 第一处位置在Private这里。
[46:53] 第二处位置在否议尺下边。
[46:58] 第三处位置在下边折叠起来的代码的最中间的那个代码的方法里边。
[47:05] 第三处代码的位置,把三处位置标记好。
[47:10] 然后回到第二处,我们开始写逻辑。
[47:13] 那么第一句话,肯定是先获取对你的工具,是不是?
[47:17] 那么先把这个Blob的工具获取一下。
[47:20] 起个名叫Blob1,然后获取名字叫做Blob1的这个,靠个Blob1的工具啊。
[47:34] 转一下类型。
[47:37] 工具获取到之后,我们是不是就可以便利它的整个结果了?
[47:45] 便利整个前,我们先把它的数量获取一下。
[47:50] 而ES1等于Blob1的Rezalt的概统,Blob1的Count。
[48:00] 然后用Four循环便利整个结果。
